name,lng,lat,1M5g_yonghushu,1M5g_zhuliubi,6M5g_yonghushu,6M5g_zhuliubi,9M5g_yonghushu,9M5g_zhuliubi,12M5g_yonghushu,12M5g_zhuliubi,归属区域名称
房山5G良乡学园北街良乡东路交汇1Z,116.166065,39.729989,,,,,9,0.0295,11,0.0447,北京良乡大学城
房山5G良乡裕恒通建材1Z,116.141458,39.726402,114,0.1991,641,0.4041,1117,0.5845,1489,0.9745,北京良乡大学城
房山5G良乡金光路7号1ZM,116.122174,39.719756,,,,,,,19,0.1596,北京良乡大学城
房山5G长阳社科院1Z,116.177312,39.740865,65,0.1473,741,0.2915,1160,0.422,1611,0.6546,北京良乡大学城
房山5G良乡瑞城广场1ZM,116.135222,39.728865,,,,,,,0,0,北京良乡大学城
房山5G良乡火车站南1Z,116.146163,39.744725,165,0.1113,718,0.2669,1098,0.5726,1464,0.9396,北京良乡大学城
房山5G良乡瑞雪春堂2里28号楼1Z,116.139111,39.717432,129,0.4495,485,0.5195,865,0.5911,1153,0.9541,北京良乡大学城
房山5G良乡荷园南路揽秀南街交汇1Z,116.151652,39.714761,,,,,845,0.63,1206,1,北京良乡大学城
房山5G良乡首都师范大学1Z,116.170138,39.711191,164,0.275,919,0.2837,1312,0.6672,1874,0.9958,北京良乡大学城
房山5G良乡首发物流商务楼北1Z,116.113952,39.71968,,,,,5,0.6,6,1,北京良乡大学城
房山5G良乡水产局1Z,116.126115,39.730142,177,0.2225,781,0.2426,1149,0.4239,1531,0.678,北京良乡大学城
房山5G良乡太平庄石材厂2Z,116.107172,39.731805,157,0,2655,0.3432,4867,0.5999,6320,0.9681,北京良乡大学城
房山5G长阳镇凯悦莱酒店1ZM,116.169143,39.746741,,,,,,,0,0,北京良乡大学城
房山5G良乡智汇雅苑二期1ZM,116.175041,39.734211,,,,,,,0,0,北京良乡大学城
房山5G良乡智汇雅苑二期2ZM,116.175041,39.734211,,,,,,,0,0,北京良乡大学城
房山5G良乡伟业嘉园东里北2Z,116.156352,39.733553,,,,,3,0.62,3,1,北京良乡大学城
房山5G良乡工会1ZM,116.129371,39.743961,,,,,,,5,0.0047,北京良乡大学城
房山5G良乡智汇雅苑二期3ZM,116.175041,39.734211,,,,,,,3786,0.7884,北京良乡大学城
房山5G良乡西潞大街1Z,116.124087,39.736881,0,0,,,,,0,0,北京良乡大学城
房山5G良乡中经信会议中心1ZM,116.143123,39.736008,,,,,,,0,0,北京良乡大学城
房山5G房山城铁大学城东北1Z,116.176923,39.722982,0,0,,,,,1614,0.9766,北京良乡大学城
房山5G阎村六环十三里桥1Z,116.114821,39.696747,,,,,,,0,0,北京良乡大学城
房山5G良乡北京理工大学北校区5ZM,116.161848,39.731849,,,,,,,0,0,北京良乡大学城
房山5G良乡政府二办区1ZM,116.127524,39.720278,,,,,,,0,0,北京良乡大学城
房山5G良乡北京理工大学北校区6ZM,116.161848,39.731849,,,,,,,0,0,北京良乡大学城
房山5G良乡北京理工大学南校区6ZM,116.163456,39.724636,,,,,,,0,0,北京良乡大学城
房山5G良乡北京理工大学南校区5ZM,116.163456,39.724636,,,,,,,0,0,北京良乡大学城
房山5G良乡北京理工大学南校区8ZM,116.163456,39.724636,,,,,,,0,0,北京良乡大学城
房山5G良乡中国社会科学院6ZM,116.172614,39.740101,,,,,,,0,0,北京良乡大学城
房山5G长阳滨水公园西北1Z,116.180282,39.754248,239,0.0782,2089,0.3582,3300,0.6216,4177,0.9569,北京良乡大学城
房山5G长阳金地朗悦学校1ZM,116.185339,39.730193,,,,,,,0,0,北京良乡大学城
房山5G良乡多宝路1Z,116.150617,39.732791,207,0.0677,937,0.2449,1483,0.3836,1951,0.6349,北京良乡大学城
房山5G良乡核安保E1号楼1Z,116.182247,39.725297,158,0.2506,433,0.303,698,0.5971,983,0.9637,北京良乡大学城
房山5G良乡月华小区北1Z,116.119821,39.731505,,,,,608,0.3374,779,0.579,北京良乡大学城
房山5G良乡鑫峰大厦1Z,116.124285,39.722493,88,0.3222,860,0.3845,1637,0.6241,2046,0.9362,北京良乡大学城
房山5G良乡中发兴业电气有限公司1Z,116.136707,39.714668,,,169,0.345,259,0.5324,359,0.7977,北京良乡大学城
房山5G良乡联通良乡社会服务中心1Z,116.138811,39.730911,,,571,0.3208,959,0.4309,1295,0.7229,北京良乡大学城
房山5G良乡体育馆北1Z,116.127122,39.740783,97,0.1609,613,0.2811,884,0.4857,1177,0.7745,北京良乡大学城
房山5G良乡京港澳东阎村桥1Z,116.105397,39.724942,,,,,,,2716,0.8701,北京良乡大学城
房山5G良乡北京理工大学北校区2ZM,116.161848,39.731849,,,,,,,0,0,北京良乡大学城
房山5G良乡华冠购物中心1Z,116.132828,39.733535,73,0.0624,303,0.1708,482,0.3164,687,0.5021,北京良乡大学城
房山5G良乡北京理工大学南校区1ZM,116.163456,39.724636,,,,,,,0,0,北京良乡大学城
房山5G良乡北潞芳北1Z,116.119785,39.740943,179,0.1672,661,0.335,1079,0.6203,1349,0.9849,北京良乡大学城
房山5G良乡恒大滨河左岸北区1Z,116.147546,39.715615,277,0.3055,1,0.3605,1,0.1396,1,0.2375,北京良乡大学城
房山5G良乡成教中心1Z,116.15123,39.755601,,,,,1664,0.4249,2189,0.6796,北京良乡大学城
房山5G长阳联通小西庄回迁楼北侧1Z,116.163242,39.743382,143,0.139,761,0.3722,1323,0.6134,1653,0.9445,北京良乡大学城
房山5G良乡北潞园1Z,116.124398,39.736621,136,0.3743,1101,0.4393,1895,0.5812,2560,0.8824,北京良乡大学城
房山5G良乡西潞园1Z,116.122753,39.731005,55,0.116,293,0.2232,428,0.5014,586,0.6806,北京良乡大学城
房山5G阎村炒米店1Z,116.101676,39.710131,,,466,0.364,732,0.5251,950,0.8233,北京良乡大学城
房山5G良乡苏庄桥西南1Z,116.110988,39.726292,543,0.3843,1499,0.4393,2205,0.5648,2939,0.958,北京良乡大学城
房山5G良乡北关运7酒店搬迁站1Z,116.135547,39.738962,,,,,831,0.3744,1186,0.5914,北京良乡大学城
房山5G良乡共创大厦1Z,116.116725,39.722868,183,0.1058,7,0.1272,11,0.2475,13,0.3844,北京良乡大学城
房山5G良乡经贸学校宿舍楼1Z,116.158093,39.720575,22,0.0005,75,0.0415,108,0.0702,152,0.1064,北京良乡大学城
房山5G良乡奥斯比例克新技术开发公司西北1Z,116.13296,39.71025,552,0.4579,2852,0.5579,4083,0.6391,5592,0.9986,北京良乡大学城
房山5G良乡理工大学北校区西1Z,116.160825,39.733113,,,,,,,1181,1,北京良乡大学城
房山5G良乡西潞时代1Z,116.121145,39.729061,297,0.1948,602,0.249,891,0.485,1157,0.8249,北京良乡大学城
房山5G良乡东羊庄1Z,116.158961,39.729241,,,,,0,0,0,0,北京良乡大学城
房山5G房山良乡中医药大学操场1Z,116.167408,39.709065,142,0.3851,577,0.4701,917,0.6371,1309,0.9275,北京良乡大学城
房山5G房山良乡长虹东路1Z,116.153551,39.721297,200,0.0648,1731,0.2399,2457,0.4367,3461,0.6535,北京良乡大学城
房山5G良乡洋森饭店1Z,116.130321,39.724318,194,0.1313,0,0.1563,0,0,0,0,北京良乡大学城
房山5G阎村镇阎安东路1Z,116.090111,39.710121,,,368,0.3337,519,0.6194,720,0.8992,北京良乡大学城
房山5G良乡电信良乡2办1Z,116.127153,39.719972,,,390,0.3504,654,0.5929,828,0.9725,北京良乡大学城
房山5G良乡经贸职业学院2Z,116.155543,39.720153,101,0.0374,334,0.2192,627,0.3636,793,0.5576,北京良乡大学城
房山5G良乡太平庄1Z,116.112548,39.729175,287,0.1118,1492,0.3213,2487,0.5716,3552,0.9088,北京良乡大学城
房山5G良乡联通昊天家具城2Z,116.132667,39.720054,,,334,0.3043,567,0.4535,776,0.7357,北京良乡大学城
房山5G长阳城铁广阳城站1Z,116.178151,39.744067,1,0.0597,3,0.1398,5,0.3124,7,0.4422,北京良乡大学城
房山5G良乡辰光家园1Z,116.136532,39.725395,309,0.1463,1381,0.3465,2100,0.5753,2876,0.8608,北京良乡大学城
房山5G良乡北京理工大学游泳馆5ZM,116.170647,39.730902,,,,,,,0,0,北京良乡大学城
房山5G良乡北京理工大学南校区2ZM,116.163456,39.724636,,,,,,,0,0,北京良乡大学城
房山5G良乡理工大学实训楼1Z,116.167611,39.724903,43,0.3899,297,0.4599,457,0.4847,618,0.7729,北京良乡大学城
房山5G良乡昊天家具城东南1Z,116.137608,39.720603,28,0.0593,300,0.2193,432,0.4348,599,0.6541,北京良乡大学城
房山5G良乡城铁大学城站1Z,116.171462,39.721652,157,0.0839,573,0.1971,938,0.3653,1302,0.5439,北京良乡大学城
房山5G良乡卫生监督所1Z,116.145741,39.747307,,,,,1013,0.5941,1282,0.9439,北京良乡大学城
房山5G良乡拱辰招商大厦1ZM,116.130538,39.745579,,,,,,,0,0,北京良乡大学城
房山5G良乡开发公司1Z,116.131412,39.715911,261,0.0665,1485,0.4079,2259,0.6068,3093,0.9948,北京良乡大学城
房山5G良乡中大瑞祥1ZM,116.129097,39.729177,,,,,,,0,0,北京良乡大学城
房山5G良乡北潞园公园1Z,116.117501,39.735077,48,0.3511,214,0.3761,317,0.5178,411,0.7541,北京良乡大学城
房山5G良乡苏宁商务楼1ZM,116.135365,39.730072,,,,,,,3332,0.8238,北京良乡大学城
房山5G良乡工商大学北1Z,116.159682,39.719329,,,,,4,0.1557,6,0.2629,北京良乡大学城
房山5G良乡首都师范大学北1Z,116.172185,39.714828,,,,,354,0.59,442,1,北京良乡大学城
房山5G良乡盛通建材1Z,116.133541,39.741365,,,,,1004,0.5534,1433,0.8409,北京良乡大学城
房山5G良乡北京理工大学南校区4ZM,116.163456,39.724636,,,,,,,0,0,北京良乡大学城
房山5G良乡五小1Z,116.139981,39.741668,192,0.3411,1140,0.3661,1925,0.5923,2532,0.9266,北京良乡大学城
房山5G良乡联通京广后店村东1Z,116.155821,39.746677,,,180,0.3684,268,0.5813,352,0.896,北京良乡大学城
房山5G良乡京周路1Z,116.150451,39.752687,752,0.2449,1,0.3449,1,0.242,1,0.4131,北京良乡大学城
房山5G良乡1Z,116.140545,39.732877,340,0.2534,1528,0.2917,2169,0.5269,3054,0.8802,北京良乡大学城
房山5G良乡苏庄搬迁1Z,116.114125,39.727611,135,0.3513,758,0.3763,1229,0.5975,1682,0.9087,北京良乡大学城
