id,name,value,lng,lat
16580,昌平航博馆ZL,29.95413218,116.362922,40.185254
16581,昌平东沙各庄村西CZL,116.1625816,116.394354,40.126239
16582,昌平东沙各庄村东CZL,164.8667988,116.399369,40.127112
16583,昌平南七家村东北CZl,298.9895052,116.453688,40.087521
16584,昌平南七家村西北CZL,127.8155092,116.450638,40.086893
16585,昌平沙阳路10号院杆CZL,137.422797,116.143012,40.124172
16586,昌平白羊城村北ZL,52.71404581,116.021201,40.191485
16588,昌平奤夿屯新村10号楼ZL,241.9639393,116.175686,40.205227
16589,昌平黄土岭村北ZL,9.438459988,115.986066,40.236795
16590,昌平龙虎台村西CZL,0.00641861,116.143915,40.236666
16591,昌平西沙屯西ZL,450.8201586,116.241441,40.163473
16592,昌平西坨村南ZL,113.502805,116.216411,40.138664
16593,昌平天通苑东二区东侧灯杆CZL,90.75005845,116.430581,40.06588
16594,昌平后蔺沟村北ZL,2.214998446,116.436663,40.161827
16595,昌平东方普罗旺斯西南ZL,68.81133609,116.438514,40.119381
16597,海淀东升园,80.34842148,116.32824,39.99359
16598,延庆林场新办公楼南侧ZL,3.660330925,115.940071,40.369571
16599,延庆高庙屯村南ZL,120.0298323,116.029581,40.430318
16600,延庆中屯南侧ZL,161.1030316,115.942621,40.455331
16601,延庆小丰营村西南ZL,70.55169112,115.913133,40.416646
16603,延庆前吕庄村东ZL,71.25568747,116.060647,40.499606
16604,延庆永宁北关村东ZL,38.77860318,116.162781,40.530723
16607,延庆康庄油库北侧ZL,78.21550853,115.919229,40.389029
16608,延庆八达岭中学ZL,44.07000144,115.964721,40.363606
16609,延庆大王庄村东北ZL,2.02876276,115.865371,40.379709
16610,延庆永宁邮局ZL,60.04203793,116.160615,40.522659
16611,延庆窝棚沟ZL,7.854355736,116.096301,40.377701
16612,延庆小堡村南ZL,28.3543398,116.131458,40.569166
16613,延庆营盘村北ZL,0.872455673,116.261733,40.614843
16614,延庆河北ZL,12.74977362,116.413504,40.75431
16615,延庆北街营业厅东侧ZLG,83.68828279,115.964102,40.458717
16616,延庆北关村南ZL,130.8833111,115.959822,40.46075
16617,延庆三里河村中ZL,107.937151,115.973585,40.4718
16618,门头沟栢峪与川底之间ZLG L,0.154676876,115.61572,39.999973
16620,海淀爱暮家敬老院ZL,1.172678909,116.191017,39.995575
