id,name,lng,lat
NR18111063,朝阳北辰房地产HL,116.408888,39.989444
NR18111067,朝阳北辰高尔夫西门HLG,116.431105,39.994823
NR18111068,朝阳北辰路HL,116.392777,39.984444
NR18111069,朝阳北辰时代大厦HLG,116.401025,39.990362
NR18111071,朝阳北辰西路北HL,116.38,40.000833
NR18111072,朝阳北辰西桥共联通HLG,116.380555,39.985833
NR18111078,朝阳北工大三教HL,116.476,39.8741
NR18111079,朝阳北工大宿舍楼HL,116.476666,39.876944
NR18111080,朝阳北工大中蓝公寓HL,116.474146,39.883464
NR18111081,朝阳北工大主楼HL,116.47208,39.87579
NR18111093,朝阳北郊商务楼NL,116.378372,39.996258
NR18111094,朝阳北郊长途汽车站HL,116.374286,39.982059
NR18111097,朝阳北京电视台东侧HL,116.463055,39.906388
NR18111098,朝阳北京电视台南HL,116.462255,39.903273
NR18111102,朝阳北京工业大学第四教学楼HL,116.478279,39.874256
NR18111103,朝阳北京工业大学人文楼HL,116.475757,39.870782
NR18111107,朝阳北京化工大学北HL,116.415711,39.971163
NR18111109,朝阳北京欢乐谷HL,116.488357,39.865511
NR18111114,朝阳北京急诊抢救中心HLG,116.466117,39.863685
NR18111115,朝阳北京佳程广场HLG,116.450947,39.954344
NR18111116,朝阳北京舰船医院HLG,116.362097,40.008053
NR18111118,朝阳北京联合大学宿舍楼HL,116.421967,39.990585
NR18111124,朝阳北京天使儿童医院西HLG,116.488677,39.891554
NR18111125,朝阳北京天意成仓储有限公司HLGD,116.482895,39.838448
NR18111129,朝阳北京中医药大学HLG,116.425512,39.970082
NR18111130,朝阳北京中医药大学宿舍楼HL,116.419536,39.970203
NR18111131,朝阳北京紫晨出租汽车公司HLG,116.438426,39.826884
NR18111132,朝阳北汽HL,116.469722,39.884167
NR18111133,朝阳北汽资产大厦HL,116.461388,39.894444
NR18111134,朝阳北人泽洋HL,116.455933,39.88773
NR18111136,朝阳北沙滩HL,116.362886,40.004152
NR18111139,朝阳北饴写字楼HL,116.450542,39.926236
NR18111153,朝阳碧水云天HLG,116.484166,39.879166
NR18111154,朝阳博大路25号院HLG,116.475941,39.824301
NR18111162,朝阳柴家湾HL,116.474667,39.913916
NR18111163,朝阳厂坡村HLG,116.460277,39.901388
NR18111167,朝阳朝阳路如家酒店HLD,116.493285,39.914097
NR18111168,朝阳陈家村东HLG,116.487971,39.849391
NR18111169,朝阳晨光家园332号HL,116.500202,39.924312
NR18111170,朝阳晨光家园HL,116.497559,39.923946
NR18111171,朝阳成寿寺路中部HLG,116.440638,39.843319
NR18111173,朝阳城宝饭店NL,116.457222,39.960833
NR18111176,朝阳城外诚红木家具HL,116.446432,39.833084
NR18111177,朝阳城外诚汽配城HLG,116.451351,39.832723
NR18111179,朝阳城外城家具广场HL,116.441162,39.835014
NR18111180,朝阳城外城南HLG,116.443611,39.831111
NR18111182,朝阳垂杨柳西里HL,116.447843,39.888137
NR18111184,朝阳春平广场HL,116.444642,39.922527
NR18111185,朝阳慈云寺16号楼HL,116.477789,39.912622
NR18111186,朝阳慈云寺HL,116.481111,39.910277
NR18111187,朝阳慈云寺北里凯德锦绣HL,116.486628,39.916209
NR18111188,朝阳慈云寺桥西北HLG,116.482834,39.914463
NR18111189,朝阳翠城馨园106号楼HL,116.504613,39.858552
NR18111190,朝阳翠城馨园222号楼HL,116.503301,39.856665
NR18111191,朝阳翠城馨园323号楼HL,116.495491,39.858534
NR18111192,朝阳翠城馨园333号楼HL,116.495791,39.856008
NR18111193,朝阳翠城馨园504号楼HL,116.504089,39.851944
NR18111195,朝阳大东方宾馆HL,116.48399,39.86364
NR18111201,朝阳大郊亭东南HL,116.48432,39.89085
NR18111202,朝阳大郊亭桥西HLG,116.478334,39.892123
NR18111203,朝阳大柳树村2号楼HL,116.504006,39.871904
NR18111204,朝阳大柳树西HLG,116.496187,39.875003
NR18111208,朝阳大屯路东站HLG,116.412061,40.005101
NR18111210,朝阳大望辉煌娱乐城西北HLG,116.443091,39.821382
NR18111216,朝阳大望桥东南HL,116.475842,39.906501
NR18111217,朝阳大望桥西南HLG,116.471361,39.906491
NR18111219,朝阳大羊坊路共电信HLG,116.478611,39.851944
NR18111220,朝阳大羊坊路海鲜市场HLG,116.472372,39.852462
NR18111223,朝阳大洋路活鱼批发市场HLG,116.463888,39.854444
NR18111224,朝阳大洋路市场HL,116.464166,39.851666
NR18111225,朝阳大洋路市场北侧HLG,116.468611,39.854444
NR18111226,朝阳大洋路市场南HLG,116.468285,39.852413
NR18122209,朝阳岱宗大酒店HL,116.424,39.9972
NR18111228,朝阳地铁安贞门站西南口HLG,116.398492,39.975427
NR18111230,朝阳地铁四惠东HLG,116.511,39.9069
NR18111233,朝阳第二福利中心HL,116.476101,39.895108
NR18111244,朝阳东大桥10号院16号楼HL,116.444444,39.916388
NR18111245,朝阳东大桥东里HL,116.447032,39.919147
NR18122351,朝阳东方国际大厦HL,116.458,39.9522
NR18111249,朝阳东方汇美HL,116.453128,39.863156
NR18111251,朝阳东方路安HL,116.478333,39.837222
NR18111273,朝阳东郊市场JHL,116.471033,39.903658
NR18111274,朝阳东郊市场北侧HLG,116.478055,39.902777
NR18111275,朝阳东郊市场西北HLG,116.476196,39.903241
NR18122293,朝阳对外经贸诚信楼HL,116.423,39.9778
NR18111289,朝阳对外经贸大学东北HLG,116.422441,39.982235
NR18111290,朝阳二堡子HL,116.470871,39.849773
NR18111293,朝阳垡头HL,116.49969,39.86449
NR18111295,朝阳垡头北里16号楼HL,116.506264,39.866393
NR18111296,朝阳垡头翠城馨园117号楼HL,116.506142,39.856098
NR18111297,朝阳垡头飞达电子HL,116.506,39.8461
NR18111298,朝阳垡头格林豪泰HL,116.493585,39.857625
NR18111299,朝阳垡头华新HLG,116.51337,39.85985
NR18111300,朝阳垡头联大学院HLG,116.501234,39.859683
NR18111301,朝阳垡头路HLG,116.489903,39.859464
NR18111302,朝阳垡头滤清器厂HL,116.50441,39.86134
NR18111305,朝阳垡头桥东南HLG,116.51093,39.86744
NR18111306,朝阳垡头如家酒店HL,116.505657,39.863186
