name,lng,lat,1M5g_yonghushu,1M5g_zhuliubi,12M5g_yonghushu,12M5g_zhuliubi,归属区域名称,
房山5G良乡大学城北站西南侧1Z,116.173842,39.726123,33,0.052 ,4525 ,0.982 ,北京良乡大学城,0.76207823
房山5G长阳消防支队1Z,116.153923,39.751375,无此基站,无此基站,1 ,0.386 ,北京良乡大学城,5.638976579
房山5G长阳联通文昌西路1Z,116.165338,39.738907,58,0.115 ,612 ,0.772 ,北京良乡大学城,1.021093104
房山5G阎村京石高速梨园桥1Z,116.101537,39.703125,无此基站,无此基站,1762 ,0.967 ,北京良乡大学城,0.073262027
房山5G良乡希岸轻雅酒店1ZM,116.151397,39.730242,无此基站,无此基站,0 ,0.000 ,北京良乡大学城,5.815798507
房山5G良乡北京理工大学北校区3ZM,116.161848,39.731849,无此基站,无此基站,0 ,0.000 ,北京良乡大学城,80.64771531
房山5G良乡阳光邑上西南1Z,116.150488,39.725168,286,0.219 ,2516 ,0.792 ,北京良乡大学城,3.261885205
房山5G良乡理工大学食堂1Z,116.163527,39.730741,54,0.066 ,829 ,0.581 ,北京良乡大学城,16.4991529
房山5G良乡新局1Z,116.135088,39.746882,495,0.302 ,5448 ,0.931 ,北京良乡大学城,1.757754028
房山5G良乡理工大学东校区东1Z,116.172206,39.732614,无此基站,无此基站,457 ,0.856 ,北京良乡大学城,1.108881324
房山5G阎村博英学校1Z,116.09925,39.72317,无此基站,无此基站,2858 ,0.858 ,北京良乡大学城,2.11433775
房山5G良乡工商大学西校区西南1Z,116.155544,39.716917,无此基站,无此基站,510 ,0.630 ,北京良乡大学城,6.400819177
房山5G良乡中国社会科学院4ZM,116.172614,39.740101,无此基站,无此基站,0 ,0.000 ,北京良乡大学城,6.135513966
房山5G良乡华北电网培训中心1Z,116.146163,39.744725,223,0.050 ,2404 ,0.918 ,北京良乡大学城,0.858738147
房山5G良乡北潞园西1Z,116.113111,39.735937,299,0.459 ,3188 ,0.992 ,北京良乡大学城,0.044303348
房山5G良乡太平庄华冠超市1Z,116.113265,39.731697,318,0.140 ,2810 ,0.957 ,北京良乡大学城,0.86078069
房山5G良乡北京理工大学南校区3ZM,116.163456,39.724636,无此基站,无此基站,0 ,0.000 ,北京良乡大学城,73.48961551
房山5G良乡工商大学宿舍楼1Z,116.158348,39.718342,105,0.050 ,945 ,0.806 ,北京良乡大学城,7.905163566
房山5G长阳城铁大学城北站1Z,116.176901,39.729293,170,0.139 ,9 ,0.202 ,北京良乡大学城,10.29710711
房山5G良乡中国社会科学院3ZM,116.172614,39.740101,无此基站,无此基站,0 ,0.000 ,北京良乡大学城,6.135513966
房山5G良乡理工大学南校区1Z,116.161851,39.725247,175,0.226 ,1053 ,0.509 ,北京良乡大学城,12.58629954
房山5G良乡昊天公园1Z,116.146897,39.733104,329,0.212 ,3257 ,0.578 ,北京良乡大学城,19.51571255
房山5G良乡理工大学1Z,116.161703,39.736423,81,0.027 ,4 ,0.107 ,北京良乡大学城,19.03561636
房山5G长阳六环长阳出口1Z,116.201156,39.695533,无此基站,无此基站,10 ,0.075 ,北京良乡大学城,2.59922105
房山5G良乡学园北街良乡东路交汇1Z,116.166065,39.729989,无此基站,无此基站,11 ,0.045 ,北京良乡大学城,16.4991529
房山5G良乡裕恒通建材1Z,116.141458,39.726402,114,0.199 ,1489 ,0.975 ,北京良乡大学城,0.215504833
房山5G良乡金光路7号1ZM,116.122174,39.719756,无此基站,无此基站,19 ,0.160 ,北京良乡大学城,5.184612669
房山5G长阳社科院1Z,116.177312,39.740865,65,0.147 ,1611 ,0.655 ,北京良乡大学城,4.353826765
房山5G良乡瑞城广场1ZM,116.135222,39.728865,无此基站,无此基站,0 ,0.000 ,北京良乡大学城,5.800349821
房山5G良乡火车站南1Z,116.146163,39.744725,165,0.111 ,1464 ,0.940 ,北京良乡大学城,0.858738147
房山5G良乡瑞雪春堂2里28号楼1Z,116.139111,39.717432,129,0.450 ,1153 ,0.954 ,北京良乡大学城,0.524006393
房山5G良乡荷园南路揽秀南街交汇1Z,116.151652,39.714761,无此基站,无此基站,1206 ,1.000 ,北京良乡大学城,0
