name,lng,lat,9M5g_yonghushu,9M5g_liuliang,9M4g_liuliang,9MSite_zhuliubi,9M_fugailv,9M_tousu,12M5g_yonghushu,12M5g_liuliang,12M4g_liuliang,12MSite_zhuliubi,12M_fugailv,12M_tousu,归属区域名称,
顺义5G北京首都机场物业管理有限公司1HM,116.585889,40.060879,7,0.03,30.6,0.0010 ,1.0000 ,,26,0.03,6.465055146,0.0050 ,1.0000 ,,,
平谷5G马坊营业厅1HM,117.004956,40.060725,10,0.03,15.05,0.0019 ,0.9924 ,,6,0.56,0.322653247,0.6350 ,1.0000 ,,,
顺义5G天竺营业厅1HM,116.578116,40.060451,4,1.52,45.83,0.0322 ,0.9989 ,,40,1.68,5.051537274,0.2490 ,1.0000 ,,,
城三5G海淀建材东二里对面1Z,116.371927,40.060291,0,0,2.99,0.0000 ,,,0,0,1.098119865,0.0000 ,0.9910 ,,,
城三5G海淀西二里水塔1Z,116.348703,40.060201,0,0,1.65,0.0000 ,,,1878,7.91,0.387621889,0.9530 ,0.9910 ,,,
昌平5G西城旧城保护定向安置房3ZM,116.31074,40.059996,18,5.77,20.76,0.2174 ,,,22,6.34,2.318960011,0.7320 ,0.9970 ,,,
昌平5G西城旧城保护定向安置房4ZM,116.31074,40.059996,0,0,20.76,0.0000 ,,,0,0,2.318960011,0.0000 ,0.9910 ,,,
顺义5G李桥村1H,116.66978,40.05949,173,3.5,11.31,0.2365 ,0.9902 ,,345,13.45,0.933821867,0.9350 ,1.0000 ,,,
城三5G海淀新康园南侧1Z,116.344492,40.059482,0,0,5.8,0.0000 ,,,1820,8.27,5.173526635,0.6150 ,0.9900 ,,,
平谷5G马坊镇政府1HM,117.005278,40.059426,4,13.87,15.05,0.4797 ,,,0,0,0.322653247,0.0000 ,0.9570 ,,,
昌平5G天通苑1Z,116.419192,40.059292,1943,4.74,11.97,0.2838 ,0.9754 ,,12,5.22,0.68216871,0.8840 ,0.9620 ,,,
昌平5G中滩401号1Z,116.393908,40.059101,3114,1.5,4.44,0.2522 ,,,16,1.65,1.529172692,0.5190 ,0.9910 ,,,
城一5G朝阳润泽庄园西北角1H,116.427128,40.058996,803,2.97,13.46,0.1809 ,0.9904 ,,11,3.27,1.081014137,0.7520 ,0.9870 ,,,
城三5G海淀华为环保园Q6Q7楼2HM,116.173749,40.058792,14,0.46,4.8,0.0870 ,0.9985 ,,112,7.88,4.452685304,0.6390 ,1.0000 ,,,
平谷5G联通早立庄1H,116.968306,40.058281,0,0,8.35,0.0000 ,,,0,0,1.556117036,0.0000 ,0.9810 ,,,
城一5G朝阳清河路西侧1H,116.420407,40.057592,0,0,9.52,0.0000 ,,,0,0,0.583274017,0.0000 ,0.9900 ,,,
昌平5G龙德广场南2Z,116.408775,40.057239,0,0,18.62,0.0000 ,,,0,0,3.47536258,0.0000 ,0.9970 ,,,
平谷5G小龙河北街交界处1H,117.006655,40.056726,189,26.86,6.1,0.8148 ,0.9653 ,,80,1.26,0.035312152,0.9730 ,0.9780 ,,首都东部绿色生态谷,
城三5G海淀育新小学1Z,116.340239,40.056583,0,0,25.08,0.0000 ,,,0,0,7.497082534,0.0000 ,0.9930 ,,,
城三5G海淀六里屯南路西1Z,116.245455,40.056567,0,0,2.12,0.0000 ,,,1942,39.52,2.426374034,0.9420 ,0.9900 ,,,
城三5G海淀领袖新硅谷A3号楼1Z,116.305856,40.056525,0,0,9.03,0.0000 ,0.9905 ,,0,0,6.605825354,0.0000 ,1.0000 ,,,
顺义5G后桥村1H,116.662701,40.056471,0,0,82.83,0.0000 ,,,0,0,3.210572945,0.0000 ,0.9930 ,,,
城三5G海淀西三旗风机二厂1Z,116.327517,40.056335,3815,22.98,8.69,0.7256 ,0.9905 ,,2180,15.51,4.569122897,0.7720 ,0.9930 ,,,
城三5G海淀京张高铁清华园隧道1ZS,116.307139,40.056139,0,0,9.03,0.0000 ,,,0,0,6.605825354,0.0000 ,0.9900 ,,,
城三5G海淀京张高铁清华园隧道3ZS,116.307139,40.056139,0,0,9.03,0.0000 ,,,912,8.95,6.605825354,0.5750 ,0.9900 ,,,
昌平5G西三旗桥北1Z,116.321593,40.055847,0,0,9.16,0.0000 ,,,160,1.22,5.0610946,0.1940 ,0.9910 ,,,
顺义5G首都机场T3C航站楼B1层东翼办公区及电气管廊2HM,116.609122,40.055699,0,0,61.33,0.0000 ,,,0,0,7.302454124,0.0000 ,0.9900 ,,,
顺义5G首都机场T3C航站楼B2B3层3HM,116.609122,40.055699,0,0,61.33,0.0000 ,,,0,0,7.302454124,0.0000 ,0.9900 ,,,
顺义5G首都机场T3C航站楼F1层西南要客区4HM,116.609122,40.055699,57,0.99,61.33,0.0159 ,0.9986 ,,98,3.32,7.302454124,0.3120 ,0.9980 ,,首都机场,
顺义5G首都机场T3C航站楼F2层北侧候机区7HM,116.609122,40.055699,241,6.73,61.33,0.0988 ,,,525,20.86,7.302454124,0.7410 ,1.0000 ,,首都机场,
顺义5G首都机场T3C航站楼F3层西南侧候机15HM,116.609122,40.055699,404,7.71,61.33,0.1116 ,,,682,13.51,7.302454124,0.6490 ,0.9990 ,,首都机场,
城一5G朝阳立水桥东一路南口1H,116.417416,40.055243,1601,25.53,16.29,0.6104 ,0.9905 ,,0,0,1.0950439,0.0000 ,0.9990 ,,,
城三5G海淀领袖新硅谷1Z,116.307703,40.055223,0,0,13.53,0.0000 ,0.9904 ,,0,0,7.032237175,0.0000 ,0.9930 ,,,
城三5G海淀中关村环保园G05地块1ZM,116.166748,40.055135,0,0,2.97,0.0000 ,,,0,0,6.162300084,0.0000 ,0.9900 ,,,
顺义5G北务村南1H,116.82104,40.05484,134,0.53,1.46,0.2653 ,0.9754 ,,155,1.23,0.341034233,0.7820 ,0.9720 ,,,
城三5G海淀育新花园1Z,116.336972,40.054721,0,0,0.51,0.0000 ,,,1780,15.59,1.743324144,0.8990 ,0.9910 ,,,
城三5G海淀周家巷村东1Z,116.13245,40.05468,476,0,0.01,0.0000 ,1.0000 ,,896,6.98,0.01239419,0.9980 ,1.0000 ,,,
城三5G海淀亮甲店村1Z,116.23523,40.05448,0,0,0.3,0.0000 ,,,0,0,2.104089345,0.0000 ,0.9910 ,,,
